direction,modern_section,modern_title,legacy_section,legacy_title,score,reason
companies_1956_to_2013,55,"Issue and redemption of preference shares. —(1) No company limited by shares shall, after the",80,POWER TO ISSUE REDEEMABLE PREFERENCE SHARES,4.286,"shared_keywords=['issue', 'preference', 'shares']; title_jaccard=0.43"
companies_2013_to_1956,62,"Further issue of share capital.—(1) Where at any time, a company having a share capital proposes",81,FURTHER ISSUE OF CAPITAL,4.286,"shared_keywords=['capital', 'further', 'issue']; title_jaccard=0.43"
companies_1956_to_2013,62,"Further issue of share capital.—(1) Where at any time, a company having a share capital proposes",81,FURTHER ISSUE OF CAPITAL,4.286,"shared_keywords=['capital', 'further', 'issue']; title_jaccard=0.43"
companies_2013_to_1956,87,Rectification by Central Government in Register of charges. —The Central Government on,141,"Rectification by Company Law Board of register of charges. - (1) The Company Law Board, on being",4.286,"shared_keywords=['charges', 'rectification', 'register']; title_jaccard=0.43"
companies_1956_to_2013,87,Rectification by Central Government in Register of charges. —The Central Government on,141,"Rectification by Company Law Board of register of charges. - (1) The Company Law Board, on being",4.286,"shared_keywords=['charges', 'rectification', 'register']; title_jaccard=0.43"
companies_2013_to_1956,124,Unpaid Dividend Account.—(1) Where a dividend has been declared by a company but has not,205A,UNPAID DIVIDEND TO BE TRANSFERRED TO SPECIAL DIVIDEND ACCOUNT,4.286,"shared_keywords=['account', 'dividend', 'unpaid']; title_jaccard=0.43"
companies_1956_to_2013,124,Unpaid Dividend Account.—(1) Where a dividend has been declared by a company but has not,205A,UNPAID DIVIDEND TO BE TRANSFERRED TO SPECIAL DIVIDEND ACCOUNT,4.286,"shared_keywords=['account', 'dividend', 'unpaid']; title_jaccard=0.43"
companies_2013_to_1956,270,Winding up by Tribunal.—The provisions of Part I shall apply to the winding up of a company,135,PROVISIONS OF PART TO APPLY TO MODIFICATION OF CHARGES,4.286,"shared_keywords=['apply', 'part', 'provisions']; title_jaccard=0.43"
companies_1956_to_2013,270,Winding up by Tribunal.—The provisions of Part I shall apply to the winding up of a company,135,PROVISIONS OF PART TO APPLY TO MODIFICATION OF CHARGES,4.286,"shared_keywords=['apply', 'part', 'provisions']; title_jaccard=0.43"
companies_2013_to_1956,12,"Registered office of company.—(1) A company shall, 3[within thirty days of its incorporation] and",17A,CHANGE OF REGISTERED OFFICE WITHIN A STATE,4.225,"shared_keywords=['office', 'registered', 'within']; title_jaccard=0.38"
companies_1956_to_2013,12,"Registered office of company.—(1) A company shall, 3[within thirty days of its incorporation] and",17A,CHANGE OF REGISTERED OFFICE WITHIN A STATE,4.225,"shared_keywords=['office', 'registered', 'within']; title_jaccard=0.38"
companies_2013_to_1956,22,"Execution of bills of exchange, etc. —(1) A bill of exchange, hundi or promissory note shall be",47,BILLS OF EXCHANGE AND PROMISSORY NOTES,4.125,"shared_keywords=['bills', 'exchange', 'promissory']; title_jaccard=0.38"
companies_1956_to_2013,22,"Execution of bills of exchange, etc. —(1) A bill of exchange, hundi or promissory note shall be",47,BILLS OF EXCHANGE AND PROMISSORY NOTES,4.125,"shared_keywords=['bills', 'exchange', 'promissory']; title_jaccard=0.38"
companies_2013_to_1956,84,Intimation of appointment of receiver or manager. —(1) If any person obtains an order for the,137,ENTRY IN REGISTER OF CHARGES OF APPOINTMENT OF RECEIVER OR MANAGER,4.125,"shared_keywords=['appointment', 'manager', 'receiver']; title_jaccard=0.38"
companies_1956_to_2013,84,Intimation of appointment of receiver or manager. —(1) If any person obtains an order for the,137,ENTRY IN REGISTER OF CHARGES OF APPOINTMENT OF RECEIVER OR MANAGER,4.125,"shared_keywords=['appointment', 'manager', 'receiver']; title_jaccard=0.38"
